sensor_addr,total
038d05a43bbede71,-13025.0
044db397146b4497,-70551.0
0e1f6afeb9cf87f9,-35496.0
12d286c1ce6c1a1a,-13186.0
1d4277874a78d840,-14437.0
22d15ebc9c8da378,-13287.0
22df23e314a79ea2,-19338.0
32eae3bdf5862593,-2561.0
3603180f0c2fad89,-18528.0
3d263811b5347cf1,-12881.0
408148275a6eb193,-13995.0
42d66883f2f7bec0,-268465.0
578f9c72ac05fa55,-65414.0
5c0ce6297f13f98d,-12753.0
76082d476c2b2aa6,-11035.0
7d8aa396190cc231,-13607.0
7de50d6cc939c7ae,-6180.0
7ea402ac9bf01d9b,-22729.0
80d332b5fe2a5fb7,-47703.0
a2b5051c78ab6c68,-13733.0
b7ef004a0db543d8,-75227.0
bdcbb2450902efb0,-10451.0
cfa90ead5893ac6d,-33557.0
d006e7ad7e9e7c41,-3488.0
d15fa2cc04a41cc5,-11183.0
dbc068a107eb5ad2,-4974.0
e273b5c71c557227,-26862.0
f3d1627b4490039a,-10070.0
f53b0e0abd701380,-5707.0
fa94e727ee7ad083,-26922.0
